prop_id,Win,Bet,Prop_OU,abs_resid
Blake Griffin_Total Points_2021-01-30,1,0.05,Total Points_Under,1.5
Delon Wright_Total Points_2021-01-30,0,0.05,Total Points_Over,0.9000000000000004
Draymond Green_Total Points_2021-01-30,1,0.04,Total Points_Under,0.5999999999999996
Jerami Grant_Total Points_2021-01-30,0,0.03,Total Points_Over,1.8999999999999986
Kelly Oubre Jr._Total Points_2021-01-30,1,0.1,Total Points_Over,1.9000000000000004
Mason Plumlee_Total Points_2021-01-30,1,0.03,Total Points_Under,0.40000000000000036
Wayne Ellington_Total Points_2021-01-30,1,0.07,Total Points_Under,1.1999999999999993
Andrew Wiggins_Total Rebounds and Assists_2021-01-30,1,0.05,Total Rebounds and Assists_Over,0.6699999999999999
Delon Wright_Total Rebounds and Assists_2021-01-30,1,0.05,Total Rebounds and Assists_Under,0.9100000000000001
Jerami Grant_Total Rebounds and Assists_2021-01-30,0,0.04,Total Rebounds and Assists_Over,0.8000000000000007
Wayne Ellington_Total Rebounds and Assists_2021-01-30,0,0.12,Total Rebounds and Assists_Over,0.6100000000000003
"Blake Griffin_Total Points, Rebounds and Assists_2021-01-30",1,0.02,"Total Points, Rebounds and Assists_Under",1.6500000000000021
"Jerami Grant_Total Points, Rebounds and Assists_2021-01-30",0,0.03,"Total Points, Rebounds and Assists_Over",2.1999999999999957
"Kelly Oubre Jr._Total Points, Rebounds and Assists_2021-01-30",1,0.03,"Total Points, Rebounds and Assists_Over",1.3200000000000003
Cameron Johnson_Total Points_2021-01-30,0,0.01,Total Points_Over,0.8000000000000007
Chris Paul_Total Points_2021-01-30,1,0.07,Total Points_Over,2.1000000000000014
Luka Doncic_Total Points_2021-01-30,0,0.01,Total Points_Under,0.6000000000000014
Chris Paul_Total Rebounds and Assists_2021-01-30,1,0.04,Total Rebounds and Assists_Over,0.7699999999999996
Deandre Ayton_Total Rebounds and Assists_2021-01-30,0,0.03,Total Rebounds and Assists_Under,0.9000000000000004
"Tim Hardaway Jr._Total Points, Rebounds and Assists_2021-01-30",1,0.02,"Total Points, Rebounds and Assists_Over",1.25
Brandon Clarke_Total Points_2021-01-30,0,0.06,Total Points_Over,1.4000000000000004
DeMar DeRozan_Total Points_2021-01-30,1,0.05,Total Points_Under,1.3000000000000007
Ja Morant_Total Points_2021-01-30,0,0.01,Total Points_Over,1
Kyle Anderson_Total Points_2021-01-30,1,0.02,Total Points_Over,0.40000000000000036
Dejounte Murray_Total Rebounds and Assists_2021-01-30,0,0.02,Total Rebounds and Assists_Over,0.8399999999999999
Ja Morant_Total Rebounds and Assists_2021-01-30,1,0.03,Total Rebounds and Assists_Over,0.4400000000000013
Kyle Anderson_Total Rebounds and Assists_2021-01-30,1,0.01,Total Rebounds and Assists_Under,0.2599999999999998
Lonnie Walker IV_Total Rebounds and Assists_2021-01-30,1,0.05,Total Rebounds and Assists_Over,0.40000000000000036
"DeMar DeRozan_Total Points, Rebounds and Assists_2021-01-30",1,0.05,"Total Points, Rebounds and Assists_Under",1.9800000000000004
"Ja Morant_Total Points, Rebounds and Assists_2021-01-30",0,0.02,"Total Points, Rebounds and Assists_Over",0.9399999999999977
Daniel Theis_Total Points_2021-01-30,1,0.04,Total Points_Over,0.40000000000000036
Jayson Tatum_Total Points_2021-01-30,0,0.09,Total Points_Under,2.5
Kemba Walker_Total Points_2021-01-30,0,0.01,Total Points_Over,1
LeBron James_Total Points_2021-01-30,1,0.09,Total Points_Under,2.6999999999999993
Daniel Theis_Total Rebounds and Assists_2021-01-30,1,0.03,Total Rebounds and Assists_Over,0.46000000000000085
Jaylen Brown_Total Rebounds and Assists_2021-01-30,0,0.16,Total Rebounds and Assists_Over,1.67
Kemba Walker_Total Rebounds and Assists_2021-01-30,0,0.01,Total Rebounds and Assists_Under,0.3099999999999996
Marcus Smart_Total Rebounds and Assists_2021-01-30,1,0.02,Total Rebounds and Assists_Over,0.4800000000000004
